ID,name,website
85,"
Razer Naga Pro wireless gaming mouse review
",https://www.pcgamer.com/razer-naga-pro-review-wireless-gaming-mouse/
86,"
Madden NFL 21 review
",https://www.pcgamer.com/madden-nfl-21-review/
87,"
Tony Hawk's Pro Skater 1 + 2 review
",https://www.pcgamer.com/tony-hawks-pro-skater-1-2-review/
88,"
Asrock B550M-HDV gaming motherboard review
",https://www.pcgamer.com/asrock-b550m-hdv-gaming-motherboard-review/
89,"
Marvel's Avengers review
",https://www.pcgamer.com/marvels-avengers-review/
90,"
Silicon Power US70 2TB PCIe Gen4x4 SSD review
",https://www.pcgamer.com/silicon-power-us70-2tb-pcie-4-ssd-review-benchmarks-performance/
91,"
Paradise Killer review
",https://www.pcgamer.com/paradise-killer-review/
92,"
AVerMedia Live Gamer Duo review
",https://www.pcgamer.com/avermedia-live-gamer-duo-capture-card-review-performance/
93,"
Tell Me Why review
",https://www.pcgamer.com/tell-me-why-review/
94,"
Creative SXFI Gamer gaming headset review
",https://www.pcgamer.com/creative-sxfi-gamer-gaming-headset-review/
95,"
Crusader Kings 3 review
",https://www.pcgamer.com/crusader-kings-3-review/
96,"
Iron Harvest review
",https://www.pcgamer.com/iron-harvest-review/
97,"
Asus Maximus XII Apex gaming motherboard review
",https://www.pcgamer.com/asus-maximus-xii-apex-z490-motherboard-review-benchmarks/
98,"
Wasteland 3 review
",https://www.pcgamer.com/wasteland-3-review/
99,"
No Straight Roads review
",https://www.pcgamer.com/no-straight-roads-review/
100,"
Maingear Turbo gaming PC review
",https://www.pcgamer.com/maingear-turbo-gaming-pc-review-benchmarks/
101,"
Factorio review
",https://www.pcgamer.com/factorio-review/
102,"
Team Xtreem ARGB DDR4-3600 C14 gaming memory review
",https://www.pcgamer.com/team-xtreem-argb-ddr4-memory-review/
103,"
Microsoft Flight Simulator review
",https://www.pcgamer.com/microsoft-flight-simulator-review/
104,"
Lian Li UNI FAN SL120 review
",https://www.pcgamer.com/lian-li-uni-fan-sl120-review/
105,"
EK-Fluid Gaming PC 250 Conquest review
",https://www.pcgamer.com/ek-fluid-gaming-pc-250-conquest-review-benchmarks-performance/
106,"
Logitech G Pro X Wireless gaming headset review
",https://www.pcgamer.com/logitech-g-pro-x-wireless-gaming-headset-review/
107,"
Spiritfarer review
",https://www.pcgamer.com/spiritfarer-review/
108,"
Mortal Shell review
",https://www.pcgamer.com/mortal-shell-review/
109,"
ASRock B550 Taichi gaming motherboard review
",https://www.pcgamer.com/asrock-b550-taichi/
110,"
Razer Huntsman Mini gaming keyboard review
",https://www.pcgamer.com/razer-huntsman-mini-gaming-keyboard/
111,"
G.Skill Trident Z Royal DDR4-4000 gaming memory review
",https://www.pcgamer.com/gskill-trident-z-royal-ddr4-memory-review-benchmarks/
112,"
A Total War Saga: Troy review
",https://www.pcgamer.com/a-total-war-saga-troy-review/
113,"
Risk of Rain 2 review
",https://www.pcgamer.com/risk-of-rain-2-review/
114,"
LG OLED48CX TV review
",https://www.pcgamer.com/lg-oled48cx-tv-review/
115,"
Fall Guys: Ultimate Knockout review
",https://www.pcgamer.com/fall-guys-ultimate-knockout-review/
116,"
Audeze Mobius gaming headset review
",https://www.pcgamer.com/audeze-mobius-gaming-headset-review/
117,"
Horizon Zero Dawn review
",https://www.pcgamer.com/horizon-zero-dawn-review/
118,"
Paper Beast review
",https://www.pcgamer.com/paper-beast-review/
119,"
Fanatec CSL Elite racing wheel review
",https://www.pcgamer.com/fanatec-csl-elite-racing-wheel-review-performance/
120,"
Kingston KC2500 1TB NVMe SSD review
",https://www.pcgamer.com/kingston-kc2500-1tb-nvme-ssd-review-performance-benchmarks/
121,"
Rocket Arena review
",https://www.pcgamer.com/rocket-arena-review/
122,"
Othercide review
",https://www.pcgamer.com/othercide-review/
123,"
Carrion review
",https://www.pcgamer.com/carrion-review/
124,"
Razer BlackShark V2 gaming headset review
",https://www.pcgamer.com/razer-blackshark-v2-review-gaming-headset/
125,"
Fae Tactics review
",https://www.pcgamer.com/fae-tactics-review/
126,"
Necrobarista review
",https://www.pcgamer.com/necrobarista-review/
127,"
Acer Predator X38 gaming monitor review
",https://www.pcgamer.com/acer-predator-x38-review-gaming-monitor-performance/
128,"
Nighthawk Pro Gaming XR500 review
",https://www.pcgamer.com/nighthawk-pro-gaming-xr500-review/
129,"
HyperX Alloy Elite 2 gaming keyboard review
",https://www.pcgamer.com/hyperx-alloy-elite-2-gaming-keyboard-review-pudding-keycaps/
130,"
Asus AI Noise-Cancelling Mic Adapter review
",https://www.pcgamer.com/asus-ai-noise-cancelling-mic-adapter-review-performance/
131,"
LG UltraGear 34GN850 review
",https://www.pcgamer.com/lg-ultragear-34gn850-review-performance/
132,"
Sabrent Rocket Q 8TB NVMe SSD review
",https://www.pcgamer.com/sabrent-rocket-q-8tb-ssd-review-benchmarks/
133,"
Halo 3 review
",https://www.pcgamer.com/halo-3-review/
134,"
Razer Blade 15 Advanced gaming laptop review
",https://www.pcgamer.com/razer-blade-15-advanced-gaming-laptop-review/
135,"
﻿Beyond a Steel Sky review
",https://www.pcgamer.com/beyond-a-steel-sky-review/
136,"
Death Stranding review
",https://www.pcgamer.com/death-stranding-review/
137,"
F1 2020 review
",https://www.pcgamer.com/f1-2020-review/
138,"
AMD Ryzen 5 3600XT review
",https://www.pcgamer.com/amd-ryzen-5-3600xt-review-benchmarks-performance/
139,"
Story of Seasons: Friends of Mineral Town review
",https://www.pcgamer.com/story-of-seasons-friends-of-mineral-town-review/
140,"
Asus TUF Gaming B550M-Plus Wi-Fi review
",https://www.pcgamer.com/asus-tuf-gaming-b550m-plus-wifi-review-benchmarks/
141,"
MSI MAG B550M Mortar review
",https://www.pcgamer.com/msi-mag-b550m-mortar-review-benchmarks/
142,"
Superhot: Mind Control Delete review
",https://www.pcgamer.com/superhot-mind-control-delete-review/
143,"
Razer Deathadder V2 Mini gaming mouse review
",https://www.pcgamer.com/razer-deathadder-v2-mini-gaming-mouse-review/
144,"
Asus ROG Strix B550-E Gaming review
",https://www.pcgamer.com/asus-rog-strix-b550-e-gaming-review-benchmarks/
145,"
Shadow Empire review
",https://www.pcgamer.com/shadow-empire-review/
146,"
AMD Ryzen 7 3800XT review
",https://www.pcgamer.com/amd-ryzen-7-3800xt-review/
147,"
ASUS TUF Gaming B460M Plus Wi-Fi review
",https://www.pcgamer.com/asus-tuf-gaming-b460m-plus-review-benchmarks/
148,"
Corsair Vengeance a4100 gaming PC review
",https://www.pcgamer.com/corsair-vengeance-a4100-review-benchmarks/
149,"
AMD Ryzen 9 3900XT review
",https://www.pcgamer.com/amd-ryzen-9-3900xt-review/
150,"
ASRock B460 Steel Legend review
",https://www.pcgamer.com/asrock-b460-steel-legend-review-performance/
151,"
MSI MAG B460M Mortar WiFi review
",https://www.pcgamer.com/msi-mag-b460m-mortar-review-benchmarks/
152,"
Samsung 870 QVO 1TB SSD review
",https://www.pcgamer.com/samsung-870-qvo-1tb-ssd-review-benchmarks/
153,"
Viotek GNV34DBE curved gaming monitor review
",https://www.pcgamer.com/viotek-gnv34dbe-review-performance/
154,"
Crucial P2 500GB PCIe M.2 SSD review
",https://www.pcgamer.com/crucial-p2-500gb-ssd-review-performance/
155,"
Summer in Mara review
",https://www.pcgamer.com/summer-in-mara-review/
156,"
Sabrent Rocket 2TB PCIe 4.0 SSD review
",https://www.pcgamer.com/sabrent-rocket-pcie4-nvme-ssd-review-benchmarks/
157,"
Asus ROG Zephyrus Duo 15 review
",https://www.pcgamer.com/asus-rog-zephyrus-duo-15-gx550lxs-review-benchmarks/
158,"
Addlink S90 1TB PCIe 4.0 NVMe SSD review
",https://www.pcgamer.com/addlink-s90-1tb-pcie-40-nvme-ssd-review/
159,"
West of Dead review
",https://www.pcgamer.com/west-of-dead-review/
160,"
Elgato Wave: 3 microphone review
",https://www.pcgamer.com/elgato-wave-3-microphone-review-performance/
161,"
Acer Predator Triton 500 gaming laptop review
",https://www.pcgamer.com/acer-predator-triton-500-gaming-laptop-review-benchmarks-performance/
162,"
Adata XPG Xenia 15 review
",https://www.pcgamer.com/adata-xpg-xenia-15-gaming-laptop-review/
163,"
Asus ROG Maximus XII Extreme review
",https://www.pcgamer.com/asus-rog-maximus-xii-extreme-z490-review-benchmarks/
164,"
Persona 4 Golden review
",https://www.pcgamer.com/persona-4-golden-review/
165,"
Desperados 3 review
",https://www.pcgamer.com/desperados-3-review/
166,"
Beyond Blue review
",https://www.pcgamer.com/beyond-blue-review/
167,"
Sabrent Rocket Q 4TB NVMe SSD review
",https://www.pcgamer.com/sabrent-rocket-q-4tb-nvme-ssd-review/
168,"
JLab Audio Talk GO microphone review
",https://www.pcgamer.com/jlabs-audio-talk-go-microphone-review/
169,"
Valorant review
",https://www.pcgamer.com/valorant-review/
170,"
Monster Train review
",https://www.pcgamer.com/monster-train-review/
171,"
Intel Core i5 10600K review
",https://www.pcgamer.com/intel-core-i5-10600k-review-benchmarks-gaming-performance/
172,"
Intel Core i9 10900K review
",https://www.pcgamer.com/intel-core-i9-10900k-review-performance-benchmarks/
173,"
Astro A50 Wireless gaming headset review
",https://www.pcgamer.com/astro-a50-wireless-gaming-headset-review/
174,"
Gigabyte Aorus 17G XB gaming laptop review
",https://www.pcgamer.com/gigabyte-aorus-17g-xb-gaming-laptop-review/
175,"
Timelie review
",https://www.pcgamer.com/timelie-review/
176,"
Deep Rock Galactic review
",https://www.pcgamer.com/deep-rock-galactic-review/
177,"
Logitech G915 TKL gaming keyboard review
",https://www.pcgamer.com/logitech-g915-tkl-wireless-gaming-keyboard-review/
178,"
Dell G5 15 SE gaming laptop review
",https://www.pcgamer.com/dell-g5-15-se-gaming-laptop-review/
179,"
MSI Optix MAG272CQR review
",https://www.pcgamer.com/msi-optix-mag272cqr-gaming-monitor-review/
180,"
Crucible review
",https://www.pcgamer.com/crucible-review/
181,"
Razer Deathadder V2 review
",https://www.pcgamer.com/razer-deathadder-v2-review/
182,"
Minecraft Dungeons review
",https://www.pcgamer.com/minecraft-dungeons-review/
183,"
Secretlab Omega review
",https://www.pcgamer.com/secretlab-omega-review/
184,"
AMD Radeon RX 5500 XT 8GB review
",https://www.pcgamer.com/amd-radeon-rx-5500-xt-8gb-review/
185,"
Nvidia GeForce RTX 2080 Ti Founders Edition review
",https://www.pcgamer.com/nvidia-geforce-rtx-2080-ti-founders-edition-review/
186,"
Intel Core i9 9900K review
",https://www.pcgamer.com/core-i9-9900k-review/
187,"
Acer Predator XB273K gaming monitor review
",https://www.pcgamer.com/acer-predator-xb273k-gaming-monitor-review/
188,"
Valve Index review
",https://www.pcgamer.com/valve-index-review/
189,"
Logitech G Pro X gaming headset review
",https://www.pcgamer.com/logitech-g-pro-x-gaming-headset-review/
190,"
Maneater review
",https://www.pcgamer.com/maneater-review/
191,"
HyperX x Ducky One 2 Mini gaming keyboard review
",https://www.pcgamer.com/hyperx-x-ducky-one-2-mini-gaming-keyboard-review/
192,"
AMD Ryzen 3 3100 CPU review
",https://www.pcgamer.com/amd-ryzen-3-3100-review-benchmarks/
193,"
Super Mega Baseball 3 review
",https://www.pcgamer.com/super-mega-baseball-3-review/
194,"
NZXT H1 PC case review
",https://www.pcgamer.com/nzxt-h1-pc-case-review/
195,"
Before We Leave review
",https://www.pcgamer.com/before-we-leave-review/
196,"
AMD Ryzen 3 3300X CPU Review
",https://www.pcgamer.com/amd-ryzen-3-3300x-review-benchmarks-performance/
197,"
Logitech G203 Lightsync gaming mouse review
",https://www.pcgamer.com/logitech-g203-lightsync-review-performance/
198,"
JBL Quantum One gaming headset review
",https://www.pcgamer.com/jbl-quantum-one-gaming-headset-review/
199,"
Acer Predator CG437K gaming monitor review
",https://www.pcgamer.com/acer-predator-cg437k-gaming-monitor-review/
200,"
MSI GS66 Stealth 10SGS gaming laptop review
",https://www.pcgamer.com/msi-gs66-stealth-gaming-laptop-review/
201,"
Streets of Rage 4 review
",https://www.pcgamer.com/streets-of-rage-4-review/
202,"
MSI GF65 THIN 9SEXR gaming laptop review
",https://www.pcgamer.com/msi-gf65-thin-9sexr-gaming-laptop-review/
203,"
SnowRunner review
",https://www.pcgamer.com/snowrunner-review/
204,"
Gears Tactics review
",https://www.pcgamer.com/gears-tactics-review/
205,"
Elgato 4K60 S+ Capture Card review
",https://www.pcgamer.com/elgato-4k60-s-capture-card-review/
206,"
Cloudpunk review
",https://www.pcgamer.com/cloudpunk-review/
207,"
XCOM: Chimera Squad review
",https://www.pcgamer.com/xcom-chimera-squad-review/
208,"
PC Specialist Nova X1 review
",https://www.pcgamer.com/pc-specialist-nova-15-gaming-laptop-review-amd-ryzen-9-3900/
209,"
Asus TUF A15 gaming laptop review
",https://www.pcgamer.com/asus-tuf-gaming-a15-fa506iv-gaming-laptop-review/
210,"
Corsair Dark Core RGB Pro SE wireless gaming mouse review
",https://www.pcgamer.com/corsair-dark-core-rgb-pro-se-wireless-gaming-mouse-review/
211,"
ROG Strix XG17AHPE portable monitor review
",https://www.pcgamer.com/rog-strix-xg17ahp-portable-monitor-review/
212,"
The Complex review
",https://www.pcgamer.com/the-complex-review/
213,"
PowerA Spectra Enhanced Wired Controller review
",https://www.pcgamer.com/powera-spectra-enhanced-wired-controller-review/
214,"
In Other Waters review
",https://www.pcgamer.com/in-other-waters-review/
215,"
Bleeding Edge review
",https://www.pcgamer.com/bleeding-edge-review/
216,"
Resident Evil 3 Remake review
",https://www.pcgamer.com/resident-evil-3-remake-review/
217,"
Asus ROG Zephyrus G14 gaming laptop review
",https://www.pcgamer.com/asus-rog-zephyrus-g14/
218,"
Noblechairs Epic Black Edition review
",https://www.pcgamer.com/noblechairs-epic-black-edition-review/
219,"
Western Digital WD Black P10 Game Drive 5TB Review
",https://www.pcgamer.com/wd-black-p10-game-drive-5tb-review/
220,"
Half-Life: Alyx review
",https://www.pcgamer.com/half-life-alyx-review/
221,"
HTC Vive Cosmos Elite review
",https://www.pcgamer.com/htc-vive-cosmos-elite-review/
222,"
Doom Eternal review
",https://www.pcgamer.com/doom-eternal-review/
223,"
Panzer Corps 2 review
",https://www.pcgamer.com/panzer-corps-2-review/
224,"
Call of Duty: Warzone review
",https://www.pcgamer.com/call-of-duty-warzone-review/
225,"
Murder by Numbers review
",https://www.pcgamer.com/murder-by-numbers-review/
226,"
Romance of the Three Kingdoms 14 review
",https://www.pcgamer.com/romance-of-the-three-kingdoms-14-review/
227,"
Asus Huracan G21 gaming desktop review
",https://www.pcgamer.com/asus-huracan-g21-gaming-desktop-review/
228,"
Razer Basilisk V2 review
",https://www.pcgamer.com/razer-basilisk-v2-review/
229,"
Halo: Combat Evolved Anniversary review
",https://www.pcgamer.com/halo-combat-evolved-anniversary-review/
230,"
Yes, Your Grace review
",https://www.pcgamer.com/yes-your-grace-review/
231,"
Ori and the Will of the Wisps review
",https://www.pcgamer.com/ori-and-the-will-of-the-wisps-review/
232,"
Black Mesa review
",https://www.pcgamer.com/black-mesa-review/
233,"
Bloodroots review
",https://www.pcgamer.com/bloodroots-review/
234,"
Corruption 2029 review
",https://www.pcgamer.com/corruption-2029-review/
235,"
Besiege review
",https://www.pcgamer.com/besiege-review/
236,"
Wolcen: Lords of Mayhem review
",https://www.pcgamer.com/wolcen-lords-of-mayhem-review/
237,"
The Suicide of Rachel Foster review
",https://www.pcgamer.com/the-suicide-of-rachel-foster-review/
238,"
Lair of the Clockwork God review
",https://www.pcgamer.com/lair-of-the-clockwork-god-review/
239,"
Logitech StreamCam review
",https://www.pcgamer.com/logitech-streamcam-review/
240,"
Daemon X Machina review
",https://www.pcgamer.com/daemon-x-machina-review/
241,"
LUNA The Shadow Dust review
",https://www.pcgamer.com/luna-the-shadow-dust-review/
242,"
Kentucky Route Zero review
",https://www.pcgamer.com/kentucky-route-zero-season-review/
243,"
Through the Darkest of Times review
",https://www.pcgamer.com/through-the-darkest-of-times-review/
244,"
The Pedestrian review
",https://www.pcgamer.com/the-pedestrian-review/
245,"
The Walking Dead: Saints & Sinners review
",https://www.pcgamer.com/the-walking-dead-saints-and-sinners-review/
246,"
The Dark Crystal: Age of Resistance Tactics review
",https://www.pcgamer.com/the-dark-crystal-age-of-resistance-tactics-review/
247,"
Legends of Runeterra review
",https://www.pcgamer.com/legends-of-runeterra-review/
248,"
Might & Magic: Chess Royale review
",https://www.pcgamer.com/might-and-magic-chess-royale-review/
249,"
Zombie Army 4: Dead War review
",https://www.pcgamer.com/zombie-army-4-dead-war-review/
250,"
Warcraft 3: Reforged review
",https://www.pcgamer.com/warcraft-3-reforged-review/
251,"
Corsair Vengeance 6182 gaming desktop review
",https://www.pcgamer.com/corsair-vengeance-6182-gaming-desktop-review/
252,"
Journey to the Savage Planet review
",https://www.pcgamer.com/journey-to-the-savage-planet-review/
253,"
HyperX Pulsefire Dart review
",https://www.pcgamer.com/hyperx-pulsefire-dart-review/
254,"
Dragon Ball Z: Kakarot review
",https://www.pcgamer.com/dragon-ball-z-kakarot-review/
255,"
AMD Radeon RX 5600 XT review
",https://www.pcgamer.com/amd-radeon-rx-5600-xt-review/
256,"
Super Crush KO review
",https://www.pcgamer.com/super-crush-ko-review/
257,"
Avicii Invector review
",https://www.pcgamer.com/avicii-invector-review/
258,"
The White Door review
",https://www.pcgamer.com/the-white-door-review/
259,"
Monster Hunter World: Iceborne review
",https://www.pcgamer.com/monster-hunter-world-iceborne-review/
260,"
HyperX Cloud Alpha S review
",https://www.pcgamer.com/hyperx-cloud-alpha-s-review/
261,"
Razer Basilisk X Hyperspeed review
",https://www.pcgamer.com/razer-basilisk-x-hyperspeed-review/
262,"
Transport Fever 2 review
",https://www.pcgamer.com/transport-fever-2-review/
263,"
Detroit: Become Human review
",https://www.pcgamer.com/detroit-become-human-review/
264,"
Wattam review
",https://www.pcgamer.com/wattam-review/
265,"
Vampire: The Masquerade—Coteries of New York review
",https://www.pcgamer.com/vampire-the-masqueradecoteries-of-new-york-review/
266,"
AMD Radeon RX 5500 XT 4GB review
",https://www.pcgamer.com/amd-radeon-rx-5500-xt-4gb-review/
267,"
Dragon Quest Builders 2 review
",https://www.pcgamer.com/dragon-quest-builders-2-review/
268,"
MechWarrior 5: Mercenaries review
",https://www.pcgamer.com/mechwarrior-5-mercenaries-review/
269,"
Life is Strange 2 review
",https://www.pcgamer.com/life-is-strange-2-review/
270,"
Turtle Beach Elite Atlas Aero gaming headset review
",https://www.pcgamer.com/turtle-beach-elite-atlas-aero-gaming-headset-review/
271,"
Espire 1: VR Operative review
",https://www.pcgamer.com/espire-1-vr-operative-review/
272,"
Razer Kraken Ultimate gaming headset review
",https://www.pcgamer.com/razer-kraken-ultimate-gaming-headset-review/
273,"
Halo: Reach review
",https://www.pcgamer.com/halo-reach-review/
274,"
Mosaic review
",https://www.pcgamer.com/mosaic-review/
275,"
Darksiders Genesis review
",https://www.pcgamer.com/darksiders-genesis-review/
276,"
Phoenix Point review
",https://www.pcgamer.com/phoenix-point-review/
277,"
Shenmue 3 review
",https://www.pcgamer.com/shenmue-3-review/
278,"
Lost Ember review
",https://www.pcgamer.com/lost-ember-review/
279,"
Star Wars Jedi: Fallen Order review
",https://www.pcgamer.com/star-wars-jedi-fallen-order-review/
