ID,name,score,release_date_pc_gamer,date
32,World of Warcraft: Legion review,90,,02 September 2016
33,Zotac GTX 1080 Amp Extreme review,93,,01 September 2016
34,Obduction review,76,,01 September 2016
35,Fallout 4: Nuka-World review,76,,30 August 2016
36,Master of Orion review,73,,26 August 2016
37,N++ review,92,,25 August 2016
38,Intel Core i7-6850K Review,74,,25 August 2016
39,Hitman: Episode 4 review,78,,24 August 2016
40,Intel Core i7-6800K Review,83,,23 August 2016
41,Grow Up review,73,,23 August 2016
42,Deus Ex: Mankind Divided review,88,,19 August 2016
43,No Man's Sky review,64,,18 August 2016
44,GeForce GTX 1060 Review,95,,18 August 2016
45,Enderal: The Shards of Order — Skyrim mod review,74,,15 August 2016
46,This Is The Police review,65,,11 August 2016
47,Total War: Warhammer - Call of the Beastmen review,82,,03 August 2016
48,Batman - The Telltale Series: Ep 1 review,68,,02 August 2016
49,Abzû review,88,,02 August 2016
50,Overcooked review,86,,01 August 2016
51,Starbound review,84,,27 July 2016
52,Earth Defense Force 4.1: The Shadow of New Despair review,80,,27 July 2016
53,Quadrilateral Cowboy review,80,,25 July 2016
54,Headlander review,80,,25 July 2016
55,Lovely Planet Arcade review,84,,22 July 2016
56,I am Setsuna review,70,,19 July 2016
57,The Technomancer review,60,,15 July 2016
58,Necropolis review,68,,12 July 2016
59,Inside review,76,,07 July 2016
60,Furi review,86,,06 July 2016
61,Lego Star Wars: The Force Awakens review,64,,04 July 2016
62,Brigador review,76,,29 June 2016
63,NZXT CAM 3.1 Review,95,,29 June 2016
64,The Radeon RX 480 review,94,,29 June 2016
65,Mighty No. 9 review,54,,24 June 2016
66,Trials of the Blood Dragon review,35,,22 June 2016
67,VA-11 HALL-A review,60,,22 June 2016
68,Captain Forever Remix review,80,,22 June 2016
69,Sherlock Holmes: The Devil's Daughter review,59,,20 June 2016
70,Hearts of Iron 4 review,88,,09 June 2016
71,Edge of Nowhere review,58,,08 June 2016
72,Mirror's Edge Catalyst review,78,,06 June 2016
73,Dangerous Golf review,35,,04 June 2016
74,The GeForce GTX 1070 Review,95,,03 June 2016
75,Hitman: Episode 3 review,81,,03 June 2016
76,Overwatch review,88,,28 May 2016
77,Shadwen review,60,,27 May 2016
78,The Witcher 3: Blood and Wine review,94,,25 May 2016
79,Lumo review,75,,24 May 2016
80,Duskers review,86,,23 May 2016
81,Fallout 4: Far Harbor review,80,,21 May 2016
82,Total War: Warhammer review,86,,19 May 2016
83,Final Fantasy X/X-2 HD Remaster review,85,,19 May 2016
84,Doom review,88,,18 May 2016
85,Homefront: The Revolution review,59,,18 May 2016
86,Nvidia GeForce GTX 1080 review,95,,17 May 2016
87,Devialet Phantom review: this is my end-game speaker,92,,16 May 2016
88,Tree of Savior review,58,,13 May 2016
89,Battleborn review,72,,11 May 2016
90,Stellaris review,70,,09 May 2016
91,Logitech G900 Chaos Spectrum gaming mouse review,95,,05 May 2016
92,Roccat Ryos MK FX gaming keyboard review,75,,05 May 2016
93,Offworld Trading Company review,88,,05 May 2016
94,Duelyst review,84,,03 May 2016
95,Razer BlackWidow X Chroma gaming keyboard review ,75,,02 May 2016
96,Hitman: Episode 2 review,85,,28 April 2016
97,Logitech G610 Orion Red gaming keyboard review,90,,26 April 2016
98,Cougar Attack X3 gaming keyboard review,80,,22 April 2016
99,Battlefleet Gothic: Armada review,80,,21 April 2016
100,Logitech G810 Orion Spectrum keyboard review,75,,19 April 2016
101,The Banner Saga 2 review,86,,19 April 2016
102,Eve: Valkyrie review,60,,18 April 2016
103,Chronos review,84,,15 April 2016
104,Everybody's Gone to the Rapture review,79,,14 April 2016
105,Baldur's Gate: Siege of Dragonspear review,71,,14 April 2016
106,Mad Catz R.A.T. Pro X Review,90,,14 April 2016
107,Job Simulator review,74,,09 April 2016
108,HTC Vive review,85,,09 April 2016
109,Hover Junkers review,82,,08 April 2016
110,Enter The Gungeon review,78,,08 April 2016
111,Quantum Break review,70,,07 April 2016
112,MSI Vortex review,65,,04 April 2016
113,Dark Souls 3 review,94,,04 April 2016
114,Oculus Rift review,76,,02 April 2016
115,Ashes of the Singularity review,75,,01 April 2016
116,Hyper Light Drifter review,78,,01 April 2016
117,UpDesk PowerUp Series III review,90,,01 April 2016
118,Adr1ft review,63,,31 March 2016
119,Lucky's Tale review,72,,29 March 2016
120,Day of the Tentacle Remastered review,87,,26 March 2016
121,Samorost 3 review,87,,24 March 2016
122,Fallout 4: Automatron review,65,,24 March 2016
123,Out of the Park Baseball 17 review,89,,24 March 2016
124,Need For Speed review,50,,23 March 2016
125,Hitman GO: Definitive Edition review,72,,22 March 2016
126,Tom Clancy's The Division review,68,,15 March 2016
127,Hitman: Intro Pack review,75,,14 March 2016
128,Grim Dawn review,83,,12 March 2016
129,Gears of War Ultimate Edition review,69,,11 March 2016
130,Shardlight review,66,,10 March 2016
131,Soul Axiom review,55,,08 March 2016
132,Disgaea review,61,,03 March 2016
133,Thecus N5810PRO NAS Review,85,,01 March 2016
134,Galactic Civilizations 3: Mercenaries review,70,,29 February 2016
135,Far Cry Primal review,79,,29 February 2016
136,Stardew Valley review,80,,26 February 2016
137,Superhot review,84,,25 February 2016
138,Town of Light review,65,,25 February 2016
139,The Flame in the Flood review,70,,24 February 2016
140,MSI Z170A Tomahawk review,91,,23 February 2016
141,Street Fighter V review,81,,22 February 2016
142,Asus G752VT-DH72 Review,90,,22 February 2016
143,Prospekt review,41,,19 February 2016
144,Danganronpa: Trigger Happy Havoc review,86,,18 February 2016
145,Cities: Skylines - Snowfall review,83,,18 February 2016
146,Razer Mamba Chroma Wireless Gaming Mouse Review,90,,16 February 2016
147,Creative Sound BlasterX H5 Review,85,,15 February 2016
148,Layers of Fear review,64,,14 February 2016
149,Unravel review,70,,13 February 2016
150,Sapphire Radeon R9 380 4GB Review,90,,12 February 2016
0,Overload review,75,,06 August 2018
1,Dead Cells review,90,,06 August 2018
2,Madden NFL 19 review,75,,02 August 2018
3,Chasm review,78,,31 July 2018
4,This is the Police 2 review,52,,30 July 2018
5,"Warhammer 40,000: Inquisitor—Martyr review",59,,28 July 2018
6,Yakuza 0 review,90,,26 July 2018
7,The Banner Saga 3 review,90,,26 July 2018
8,Earthfall review,74,,17 July 2018
9,Far Cry 5: Lost on Mars review,50,,16 July 2018
10,"Warhammer 40,000 Gladius - Relics of War review",61,,13 July 2018
11,MSI B350i Pro A/C motherboard review,90,,12 July 2018
12,Prey—Mooncrash review,70,,10 July 2018
13,Roccat Khan AIMO headphones review,90,,09 July 2018
14,Roccat Horde AIMO keyboard review,70,,09 July 2018
15,Cooler Master MasterBox Lite 5 RGB review,90,,06 July 2018
16,The Sims 4: Seasons review,80,,06 July 2018
17,LG 27UD88 monitor review,80,,05 July 2018
18,Crash Bandicoot N. Sane Trilogy review,60,,04 July 2018
19,SteelSeries Rival 600 mouse review,90,,03 July 2018
20,Lumines Remastered review,85,,03 July 2018
21,The Crew 2 review,55,,29 June 2018
22,Razer Huntsman Elite review,89,,29 June 2018
23,Wreckfest review,75,,19 June 2018
24,Gigabyte Aero 15X review,90,,13 June 2018
25,Toshiba RC100 NVMe SSD review: a tiny package with modest aspirations,72,,12 June 2018
26,Jurassic World Evolution review ,71,,11 June 2018
27,Yoku’s Island Express review,85,,08 June 2018
28,Roccat Vulcan 120 review,92,,07 June 2018
29,Terraria review,83,,07 June 2018
30,Moonlighter review,78,,06 June 2018
31,Vampyr review,68,,04 June 2018
32,Bloodstained: Curse of the Moon review,80,,04 June 2018
33,Cultist Simulator review,85,,01 June 2018
34,EVE Online review,85,,31 May 2018
35,Corsair Hydro H150i Pro RGB 360mm review,90,,31 May 2018
36,League of Legends review,82,,30 May 2018
37,AMD Ryzen 5 2600X review,88,,29 May 2018
38,Sennheiser GSP 600 headphones review,90,,29 May 2018
39,Dell UP3218K monitor review: a staggering 8K IPS display,80,,28 May 2018
40,Path of Exile review,90,,25 May 2018
41,Dota 2 review,92,,24 May 2018
42,Warframe review,86,,23 May 2018
43,Old School Runescape review ,77,,22 May 2018
44,Hearthstone review,86,,22 May 2018
45,MSI GS65 Stealth Thin review,95,,18 May 2018
46,State of Decay 2 review,74,,17 May 2018
47,Conan Exiles review,65,,15 May 2018
48,Forgotton Anne review,75,,15 May 2018
49,Super Mega Baseball 2 review,88,,11 May 2018
50,Murderous Pursuits review,49,,11 May 2018
51,Pillars of Eternity 2: Deadfire review,88,,08 May 2018
52,NZXT H400i micro-ATX case review,90,,02 May 2018
53,Dead in Vinland review,71,,02 May 2018
54,Razer Basilisk gaming mouse review,80,,01 May 2018
55,Total War Saga: Thrones of Britannia review,73,,30 April 2018
56,Logitech MX Sound 2.0 speakers review,70,,26 April 2018
57,For the King review,75,,26 April 2018
58,Adata XPG EMIX H30 headset review,70,,25 April 2018
59,Samsung 970 Evo review: we're close to maxing out PCIe x4,89,,24 April 2018
60,ViewSonic VP3268-4K monitor review,90,,24 April 2018
61,The Swords of Ditto review,79,,24 April 2018
62,BattleTech review,85,,24 April 2018
63,Asus ROG Strix Z370-G Gaming motherboard review,90,,23 April 2018
64,Frostpunk review,89,,23 April 2018
65,AMD Ryzen 7 2700X is better than its predecessors in every way,87,,19 April 2018
66,Crucial MX500 SSD review,90,,18 April 2018
67,Lenovo Explorer mixed reality headset review,70,,17 April 2018
68,The Pillars of the Earth review,80,,17 April 2018
69,Fortnite review,87,,16 April 2018
70,Extinction review,58,,10 April 2018
71,Minit review,69,,03 April 2018
72,Far Cry 5 review,80,,29 March 2018
73,Sea of Thieves review,72,,23 March 2018
74,A Way Out review,64,,23 March 2018
75,Octahedron review,79,,20 March 2018
76,Northgard review,84,,19 March 2018
77,Ni No Kuni 2: Revenant Kingdom Review,90,,19 March 2018
78,Surviving Mars review ,80,,15 March 2018
79,Kerbal Space Program: Making History review,82,,14 March 2018
80,Final Fantasy 15 review ,78,,13 March 2018
81,Warhammer: Vermintide 2 review,80,,11 March 2018
82,Full Metal Furies review,84,,09 March 2018
83,"Intel's Optane SSD 800p is fast, expensive, and too small",65,,09 March 2018
84,Chuchel review,80,,07 March 2018
85,Where The Water Tastes Like Wine review,58,,02 March 2018
86,The Station review,77,,02 March 2018
87,A Case of Distrust review,78,,02 March 2018
88,Fortnite review,87,,16 April 2018
89,Into the Breach review,93,,27 February 2018
90,Metal Gear Survive review,59,,26 February 2018
91,All Walls Must Fall review ,72,,23 February 2018
92,Age of Empires: Definitive Edition review,60,,21 February 2018
93,Secret of Mana review,48,,20 February 2018
94,Rust review,80,,19 February 2018
95,Ryzen 3 2200G is great for extreme budget gaming and HTPC use,86,,17 February 2018
96,Final Fantasy XII: The Zodiac Age review,85,,15 February 2018
97,Aegis Defenders review,76,,15 February 2018
98,Kingdom Come: Deliverance review,84,,14 February 2018
99,Crossing Souls review,62,,13 February 2018
100,AMD's Ryzen 5 2400G is a good option for a budget gaming PC,84,,13 February 2018
101,Civilization 6: Rise and Fall review,80,,07 February 2018
102,Dandara review,68,,07 February 2018
103,Lost Sphear review,62,,06 February 2018
104,Dragon Ball FighterZ review,83,,06 February 2018
105,Subnautica review,89,,29 January 2018
106,Life Is Strange: Before The Storm review,70,,26 January 2018
107,Tartarus review,68,,25 January 2018
108,Celeste review,80,,25 January 2018
109,PlayerUnknown's Battlegrounds review,85,,24 January 2018
110,Intel's SSD 760p is an excellent budget NVMe drive,87,,23 January 2018
111,Samsung's 860 Evo returns to the SATA battle royale,81,,23 January 2018
112,Iconoclasts review,78,,23 January 2018
113,The Red Strings Club review,73,,23 January 2018
114,Logitech G613 wireless mechanical keyboard review,75,,05 January 2018
115,Yorkshire Gubbins review,78,,03 January 2018
116,SpellForce 3 review,74,,21 December 2017
117,Hello Neighbor review,38,,20 December 2017
118,Opus Magnum review,91,,20 December 2017
119,Gang Beasts review,64,,20 December 2017
120,Bridge Constructor Portal review,78,,20 December 2017
121,Gorogoa review,85,,14 December 2017
122,Shadowhand review,65,,12 December 2017
123,Okami HD review,86,,12 December 2017
124,Reigns: Her Majesty review,82,,07 December 2017
125,Battlerite review,89,,01 December 2017
126,Seven: The Days Long Gone review,81,,01 December 2017
127,World of Final Fantasy review,63,,01 December 2017
128,Oh My Godheads review,77,,30 November 2017
129,Injustice 2 review,85,,20 November 2017
130,Outcast: Second Contact review,82,,20 November 2017
131,Star Wars Battlefront 2 review,63,,17 November 2017
132,Uurnog Uurnlimited Review,80,,16 November 2017
133,Need For Speed Payback review,53,,16 November 2017
134,Sonic Forces review,50,,15 November 2017
135,Nioh review,78,,10 November 2017
136,Football Manager 2018 review,89,,09 November 2017
137,Elex review,64,,08 November 2017
138,Hand of Fate 2 review,82,,07 November 2017
139,Call of Duty: WWII review,70,,04 November 2017
140,AER: Memories of Old review,77,,04 November 2017
141,The GeForce GTX 1070 Ti brings a strong sense of déjà vu,84,,02 November 2017
142,Dujanah review,80,,02 November 2017
143,Assassin's Creed Origins review,84,,01 November 2017
144,Inmates review,42,,31 October 2017
145,Wunderdoktor review,71,,31 October 2017
146,Intel's Optane SSD 900P is the new king of the SSD hill,92,,28 October 2017
147,Destiny 2 review,85,,27 October 2017
148,Oriental Empires review,72,,26 October 2017
149,Wolfenstein 2: The New Colossus review,81,,26 October 2017
150,Battle Chasers: Nightwar review,81,,21 October 2017
0,Civilization: Beyond Earth review,87,,23 October 2014
1,Screencheat review,78,,20 October 2014
2,Styx: Master of Shadows review,78,,15 October 2014
3,F1 2014 review,67,,15 October 2014
4,Endless Legend review,89,,14 October 2014
5,Borderlands: The Pre-Sequel review,77,,13 October 2014
6,Costume Quest 2 review,70,,10 October 2014
7,Starpoint Gemini 2 review,80,,09 October 2014
8,Ryse: Son of Rome review,57,,09 October 2014
9, Planetary Annihilation review,60,,03 October 2014
10,Alien: Isolation review,93,,03 October 2014
11,Dark Souls 2: Crown of the Ivory King review,80,,02 October 2014
12,Middle-earth: Shadow of Mordor review,85,,29 September 2014
13,The Vanishing of Ethan Carter review,82,,29 September 2014
14,Gigabyte GeForce GTX 970 G1 Gaming review,94,,25 September 2014
15,Defense Grid 2 review,83,,24 September 2014
16,Fifa 15 review,78,,24 September 2014
17,Stronghold Crusader 2 review,64,,23 September 2014
18,Fable Anniversary review,65,,23 September 2014
19,Hack 'n' Slash review,60,,19 September 2014
20,Wasteland 2 review,83,,19 September 2014
21,The Sims 4 review,79,,09 September 2014
22,Dark Souls 2: Crown of the Old Iron King review,80,,04 September 2014
23,Hatoful Boyfriend review,70,,04 September 2014
24,Dead Rising 3 review,79,,04 September 2014
25,Hearthstone: Curse of Naxxramas review,78,,04 September 2014
26,Intel Core i7 5960X review,80,,29 August 2014
27,Chess 2: The Sequel review,62,,27 August 2014
28,Warface review,58,,27 August 2014
29,Lichdom: Battlemage review,76,,27 August 2014
30,Shadowgate review,60,,26 August 2014
31,Nvidia Shield Tablet review,90,,26 August 2014
32,Five Nights at Freddy's review,80,,25 August 2014
33,Logitech G402 Hyperion Fury review,87,,22 August 2014
34,Metro: Last Light Redux review,80,,20 August 2014
35,Metro 2033 Redux review,90,,20 August 2014
36,Nvidia Shield Tablet Review,90,,18 August 2014
37,Metal Gear Solid review,79,,17 August 2014
38,Cloud Chamber review,64,,14 August 2014
39,Ultra Street Fighter IV review,86,,13 August 2014
40,Risen 3: Titan Lords review,83,,12 August 2014
41,No One Lives Forever review,84,,10 August 2014
42,War Thunder review,78,,07 August 2014
43,Firefall review,47,,06 August 2014
44,Velvet Sundown review,66,,04 August 2014
45,Planescape: Torment review,93,,03 August 2014
46,Unrest review,60,,01 August 2014
47,Halfway review,68,,29 July 2014
48,American McGee's Alice review,88,,27 July 2014
49,Lovely Planet review,82,,25 July 2014
50,Gods Will Be Watching review,81,,24 July 2014
51,Aperture Tag: The Paint Gun Testing Initiative review,58,,23 July 2014
52,OlliOlli review,82,,22 July 2014
53,Dark Souls 2: Crown of the Sunken King DLC review,85,,22 July 2014
54,Light review,50,,22 July 2014
55,Jazz Jackrabbit review,87,,20 July 2014
56,Abyss Odyssey review,55,,19 July 2014
57,Magic 2015 - Duels of the Planeswalkers review,30,,18 July 2014
58,Wayward Manor review,49,,16 July 2014
59,MouseCraft review,65,,14 July 2014
60,Striker 96 review,40,,13 July 2014
61,Divinity: Original Sin review,87,,11 July 2014
62,Shattered Planet review,64,,10 July 2014
63,The Wolf Among Us review (season one),83,,10 July 2014
64,Half-Life 2 review,96,,07 July 2014
65,Shovel Knight review,80,,02 July 2014
66,Sniper Elite 3 review,70,,01 July 2014
67,GTA: San Andreas review,94,,30 June 2014
68,Plants vs. Zombies: Garden Warfare review,79,,26 June 2014
69,Space Run review,69,,25 June 2014
70,Company of Heroes 2: The Western Front Armies review,80,,24 June 2014
71,Valiant Hearts review,65,,24 June 2014
72,Grid: Autosport review,86,,24 June 2014
73,Intel Pentium Anniversary Edition G3258 review,94,,23 June 2014
74,Battleblock Theater review,86,,23 June 2014
75,Battlefield 1942 review,91,,22 June 2014
76,Xenonauts review,85,,20 June 2014
77,Spintires review,60,,20 June 2014
78,Asus PB287Q 4k monitor review,87,,17 June 2014
79,Tribes 2 review,89,,16 June 2014
80,Lifeless Planet review,60,,13 June 2014
81,Final Fantasy 3 review,61,,12 June 2014
82,Wildstar review,89,,09 June 2014
83,"FreeSpace 2 review — January 2000, US edition",93,,08 June 2014
84,Xbox One controller review,90,,06 June 2014
85,Men of War: Assault Squad 2 review,75,,04 June 2014
86,A Story About My Uncle review,78,,04 June 2014
87,Kero Blaster review,78,,03 June 2014
88,Murdered: Soul Suspect review,40,,03 June 2014
89,Always Sometimes Monsters review,80,,03 June 2014
90,Max Payne review,90,,01 June 2014
91,Among the Sleep review,60,,29 May 2014
92,Killer Is Dead review,45,,29 May 2014
93,The Wolf Among Us Episode Four review,80,,27 May 2014
94,Dynasty Warriors 8: Xtreme Legends review,70,,27 May 2014
95,Watch Dogs review,87,,27 May 2014
96,Mad Dog McCree review,4,,25 May 2014
97,Titanfall: Expedition map pack review,68,,23 May 2014
98,Wolfenstein: The New Order review,84,,23 May 2014
99,Tropico 5 review,78,,23 May 2014
100,Blade Symphony review,85,,21 May 2014
101,Transistor review,80,,20 May 2014
102,Rayman review,83,,18 May 2014
103,Asus Republic of Gamers Maximus VII Hero motherboard review,89,,16 May 2014
104,"Sir, You Are Being Hunted review",63,,16 May 2014
105,Tesla Effect review,58,,15 May 2014
106,The Walking Dead: Season 2 Episode 3 review,80,,13 May 2014
107,"Stargunner review — June 1997, US edition",80,,11 May 2014
108,Bound by Flame review,54,,10 May 2014
109,Age of Mythology: Extended Edition review,77,,09 May 2014
110,The Amazing Spider-Man 2 review,55,,08 May 2014
111,Blackwell Epiphany review,82,,06 May 2014
112,"Terminal Velocity review — October 1995, US edition",86,,04 May 2014
113,Child of Light review,69,,29 April 2014
114,Daylight review,43,,29 April 2014
115," Harvester review — December 1996, US edition",82,,27 April 2014
116,Life Goes On review,59,,25 April 2014
117,Deus Ex: The Fall review,40,,25 April 2014
118,Dark Souls 2 review,91,,24 April 2014
119,War of the Vikings review,60,,24 April 2014
120,Warlock 2 review,78,,24 April 2014
121,Mad Catz R.A.T. TE mouse review,90,,23 April 2014
122,NHL 97 review,93,,20 April 2014
123,Trials Fusion review,85,,16 April 2014
124,The Elder Scrolls Online review,68,,14 April 2014
125,Unreal Tournament review,90,,13 April 2014
126,AMD Radeon R9 295X2 review,87,,11 April 2014
127,Smite review,86,,10 April 2014
128,Cloudbuilt review,78,,09 April 2014
129,Age of Wonders 3 review,83,,09 April 2014
130,The Wolf Among Us Episode Three review,88,,08 April 2014
131,Ether One review,82,,07 April 2014
132,"The Elder Scrolls: Arena review — June 1994, US edition",88,,06 April 2014
133,Palicomp Intel Haswell Hydro-780 review,91,,04 April 2014
134,Goat Simulator review,30,,04 April 2014
135,Betrayer review,62,,04 April 2014
136,TowerFall Ascension review,90,,26 March 2014
137,Luftrausers review,80,,26 March 2014
138,Bioshock Infinite: Burial at Sea episode two review,80,,25 March 2014
139,Titanfall review,86,,18 March 2014
140,Dragons and Titans review,44,,14 March 2014
141,Ikaruga review,92,,07 March 2014
142,The Yawhg review,72,,06 March 2014
143,Year Walk review,84,,06 March 2014
144,The Walking Dead Season 2 Episode 2 review,88,,04 March 2014
145,South Park: The Stick of Truth review,90,,04 March 2014
146,Strider review,70,,01 March 2014
147,Shadowrun Returns: Dragonfall review,81,,01 March 2014
148,Blackguards review,53,,28 February 2014
149,Resident Evil 4 HD review,85,,28 February 2014
150,Castlevania: Lords of Shadow 2 review,44,,25 February 2014
0,Lethis: Path of Progress review,60,,23 July 2015
1,Feist review,75,,23 July 2015
2,F1 2015 review,61,,22 July 2015
3,Replay: VHS Is Not Dead review,82,,17 July 2015
4,Falcon Northwest Tiki Review,95,,16 July 2015
5,Legends of Eisenwald review,70,,16 July 2015
6,QNAP TVS-871 NAS Review,95,,14 July 2015
7,Rocket League review,87,,13 July 2015
8,Traverser review,55,,10 July 2015
9,The Magic Circle review,78,,10 July 2015
10,Lemma review,75,,09 July 2015
11,Lego Minifigures Online review,73,,08 July 2015
12,OCZ Vector 180 review,82,,08 July 2015
13,Infinifactory review,93,,03 July 2015
14,Final Fantasy XIV: Heavensward review,87,,02 July 2015
15,Ronin review,74,,30 June 2015
16,You Must Build A Boat review,75,,22 June 2015
17,Her Story review,90,,22 June 2015
18,Sapphire Tri-X AMD R9 390X Review,75,,18 June 2015
19,Intel Core i7-5775C Review and Overclocking,75,,15 June 2015
20,pfSense SG-2440 Gateway Review,95,,11 June 2015
21,D4: Dark Dreams Don't Die review,78,,05 June 2015
22,Hatred review,48,,04 June 2015
23,Heroes of the Storm review,84,,03 June 2015
24,Color Guardians review,51,,01 June 2015
25,Massive Chalice review,75,,01 June 2015
26,Nvidia GeForce GTX 980 Ti Review,95,,31 May 2015
27,Sunset review,68,,29 May 2015
28,Toren review,60,,28 May 2015
29,Neon Struct review,75,,28 May 2015
30,Magicka 2 review,79,,27 May 2015
31,Galactic Civilizations 3 review,87,,21 May 2015
32,R.B.I. Baseball 2015 review,45,,21 May 2015
33,Technobabylon review,80,,21 May 2015
34,The Witcher 3: Wild Hunt review,92,,21 May 2015
35,Windward review,65,,20 May 2015
36,Kalimba review,81,,19 May 2015
37,Block N Load review,76,,16 May 2015
38,Invisible Inc. review,80,,14 May 2015
39,Axiom Verge review,85,,13 May 2015
