,appid,name
9320,235460,METAL GEAR RISING: REVENGEANCE
9327,235600,Tom Clancy's Splinter Cell Blacklist
9353,236390,War Thunder
9354,236430,DARK SOULS II
9357,236510,Takedown: Red Sabre
9372,236690,Blood Bowl 2
9377,236850,Europa Universalis IV
9399,237350,Frozen Cortex
9415,237630,DuckTales Remastered
9426,237930,Transistor
9429,237990,The Banner Saga
9433,238090,Sniper Elite 3
9456,238320,Outlast
9458,238370,Magicka 2
9481,238960,Path of Exile
9483,239030,"Papers, Please"
9485,239090,Samurai Gunn
9487,239140,Dying Light
9488,239160,Thief
9489,239200,Amnesia: A Machine for Pigs
9492,239250,Castlevania: Lords of Shadow 2
9494,239350,Spelunky
9522,239840,Dead State
9553,240440,Quadrilateral Cowboy
9567,240760,Wasteland 2
9596,241260,Sherlock Holmes: Crimes and Punishments
9597,241280,Chivalry: Deadliest Warrior
9620,241560,The Crew
9637,242050,Assassin's Creed IV Black Flag
9655,242550,Rayman Legends
9660,242640,Styx: Master of Shadows
9661,242680,Nuclear Throne
9662,242700,Injustice: Gods Among Us Ultimate Edition
9669,242880,"Sir, You Are Being Hunted"
9670,242920,Banished
9678,243120,Betrayer
9679,243160,Mushroom 11
9708,243930,Bound By Flame
9709,243950,Divinity: Dragon Commander
9711,243970,"Invisible, Inc."
9723,244160,Homeworld Remastered Collection
9779,245490,Trials Fusion
9782,245620,Tropico 5
9800,246070,Hack 'n' Slash
9802,246110,MASSIVE CHALICE
9835,246760,Legends of Eisenwald
9847,247080,Crypt of the NecroDancer
9974,249230,Risen 3 - Titan Lords
9982,249570,The Castle Doctrine
9986,249650,Blackguards
10029,250620,Among the Sleep
10066,251470,TowerFall Ascension
10067,251490,Gravity Ghost
10078,251730,Legend of Grimrock 2
10095,252110,Lovers in a Dangerous Spacetime
10111,252450,StarDrive 2
10119,252630,Eldritch
10124,252750,MouseCraft
10137,253230,A Hat in Time
10229,255070,Abyss Odyssey
10264,255710,Cities: Skylines
10285,256290,Child of Light
10366,257420,Serious Sam 4
10367,257510,The Talos Principle
10393,258180,Deus Ex: The Fall
10494,258520,The Vanishing of Ethan Carter
10760,261570,Ori and the Blind Forest
10764,261640,Borderlands: The Pre-Sequel
10770,261760,Lichdom: Battlemage
10779,262060,Darkest Dungeon
10790,262280,Dungeons 2
10897,264710,Subnautica
10931,265300,Lords Of The Fallen
10963,265930,Goat Simulator
10964,265950,Ether One
10989,266510,Hand of Fate
11033,267530,The LEGO Movie - Videogame
11034,267550,The Amazing Spider-Man 2
11114,268130,Heat Signature
11137,268500,XCOM 2
11268,271240,Offworld Trading Company
11269,271260,Star Control: Origins
11409,272270,Torment: Tides of Numenera
11506,274170,Hotline Miami 2: Wrong Number
11507,274190,Broforce
11509,274250,OlliOlli
11511,274290,Gods Will Be Watching
11552,275180,Costume Quest 2
11586,275850,No Man's Sky
11618,277430,Halo: Spartan Assault
11882,281610,Homeworld: Deserts of Kharak
11884,281640,The Banner Saga 2
11907,281990,Stellaris
11911,282070,This War of Mine
11919,282210,Sid Meier's Starships
11925,282350,NBA 2K15
12136,286570,F1 2015
12197,287390,Metro: Last Light Redux
12209,287600,Sunset
12217,287700,METAL GEAR SOLID V: THE PHANTOM PAIN
12254,288470,Fable Anniversary
12326,289650,Assassin's Creed Unity
12377,290790,Grey Goo
12435,291650,Pillars of Eternity
12468,292140,FINAL FANTASY XIII-2
12512,292730,Call of Duty: Infinite Warfare
12599,294060,Aaru's Awakening
12624,294440,Shadowgate
12650,294860,Valkyria Chronicles
12974,297130,Titan Souls
13054,298050,Master of Orion
13055,298110,Far Cry 4
13098,298900,Space Hulk: Deathwing
13158,300060,ADR1FT
13293,301970,Screencheat
13332,302510,Ryse: Son of Rome
13352,303210,The Beginner's Guide
13447,304530,Agents of Mayhem
13455,304650,Sunless Sea
13666,307670,Hard West
13756,310080,Hatoful Boyfriend
13817,311210,Call of Duty: Black Ops III
13825,311340,METAL GEAR SOLID V: GROUND ZEROES
13836,311560,Assassin's Creed Rogue
13841,311690,Enter the Gungeon
13891,312520,Rain World
13902,312670,Strange Brigade
14047,314810,Randal's Monday
14191,316790,Grim Fandango Remastered
14300,317850,Company of Heroes 2 - Ardennes Assault
14356,318600,The Flame in the Flood
14447,319630,Life is Strange
14485,320240,We Happy Few
14680,322500,SUPERHOT
14723,323190,Frostpunk
14733,323320,Grow Home
14737,323380,The Magic Circle
14835,324800,Shadow Warrior 2
14892,325600,Sword Coast Legends
14893,325610,Total War: ATTILA
14904,325724,Dying Light - The Following
15097,327410,A Bird Story
15124,327890,I am Bread
15473,332200,Axiom Verge
15714,334940,Yoku's Island Express
15859,337000,Deus Ex: Mankind Divided
15968,338390,The Technomancer
16116,340000,Headlander
16282,342200,MechWarrior Online
16519,343860,Tacoma
16686,345520,Infinite Crisis
16733,346110,ARK: Survival Evolved
17065,350080,Wolfenstein: The Old Blood 
17079,350280,LawBreakers
17191,351970,Tales of Zestiria
17303,353190,Bombshell
17506,355680,Overland
17513,355790,Styx: Shards of Darkness
17534,356050,Beyond Eyes
17549,356190,Middle-earth: Shadow of War
17565,356400,Thumper
17583,356650,Death's Gambit
17772,359320,Elite Dangerous
17782,359480,FINAL FANTASY XIV: Heavensward
17799,359550,Tom Clancy's Rainbow Six Siege
17905,360830,Yooka-Laylee
18083,362890,Black Mesa
18089,362960,Tyranny
18191,364360,Total War: WARHAMMER
18199,364470,The Elder Scrolls: Legends
18298,365770,Volume
18389,366910,The Long Journey Home
18436,367520,Hollow Knight
18505,368500,Assassin's Creed Syndicate
18560,369150,Cities: Skylines - After Dark
18836,371660,Far Cry Primal
18969,373420,Divinity: Original Sin Enhanced Edition
19013,374030,Virginia
19034,374320,DARK SOULS III
19190,375910,Anno 2205
19193,375960,Pro Evolution Soccer 2016
19234,376570,WildStar
19321,377160,Fallout 4
19461,378860,Project CARS 2
19551,379720,DOOM
19667,381780,80 Days
19757,382800,Daylight
19830,383870,Firewatch
19939,384490,Necropolis
20072,386360,SMITE
20231,388210,Day of the Tentacle Remastered
20279,388880,Oxenfree
20532,391040,F1 2016
20546,391220,Rise of the Tomb Raider
20569,391540,Undertale
20581,391720,Layers of Fear
20678,393080,Call of Duty: Modern Warfare Remastered
20758,394230,Battleborn
20846,395260,Shadowrun: Hong Kong Deluxe Upgrade DLC
20869,395570,We Are The Dwarves
21004,397540,Borderlands 3
21140,399810,Call of Cthulhu
21619,403640,Dishonored 2
21735,404540,Nex Machina
21747,404680,Hob
21759,404860,Inside Me
21786,405310,LEGO MARVEL's Avengers
21797,405500,Dangerous Golf
22256,411300,ELEX
22315,412020,Metro Exodus
22392,413150,Stardew Valley
22556,414700,Outlast 2
22637,415590,Earthfall
22841,418240,Shadow Tactics: Blades of the Shogun
22852,418370,Resident Evil 7 Biohazard
22859,418530,Spelunky 2
22919,419460,"That Dragon, Cancer"
23068,421020,DiRT 4
23087,421170,Indivisible
23293,423230,Furi
23360,424370,Wolcen: Lords of Mayhem
23371,424840,Little Nightmares
23489,426310,Perception
23530,426790,Grow Up
24185,435150,Divinity: Original Sin 2
24544,438640,LEGO STAR WARS: The Force Awakens
24553,438740,Friday the 13th: The Game
24716,440900,Conan Exiles
25019,445020,Frozen Synapse 2
25166,447150,APE OUT
25481,451020,Battle Chasers: Nightwar
25920,456670,Hand of Fate 2
26232,460920,Steep
26233,460930,Tom Clancy's Ghost Recon Wildlands
26235,460950,Katana ZERO
26396,462770,Pyre
26497,464060,RUINER
26586,464920,Surviving Mars
27124,473690,Absolver
27176,474960,Quantum Break
27288,477130,Surge
27436,481510,Night in the Woods
27596,485460,The Banner Saga 3
27825,488790,South Park The Fractured But Whole
27902,489630,"Warhammer 40,000: Gladius - Relics of War"
27972,490450,Tokyo 42
28162,492720,Tropico 6
28253,493340,Planet Coaster
28401,495420,State of Decay 2
28901,501300,What Remains of Edith Finch
29113,504230,Celeste
29121,504370,Battlerite
29300,506970,DARK SOULS III - Ashes of Ariandel
29301,506971,DARK SOULS III - The Ringed City
29328,507490,Ashes of the Singularity: Escalation
30094,515220,F1 2017
30321,517630,Just Cause 4
31065,521890,Hello Neighbor
32232,532920,The Artifact
32557,535520,Nidhogg 2
32585,535930,Two Point Hospital
32688,536270,Ancestors: The Humankind Odyssey 
32904,538870,EVE: Valkyrie
33069,541470,Blair Witch
33243,543460,Dead Rising 4
33486,546430,Pathway
33494,546560,Half-Life: Alyx
33648,548430,Deep Rock Galactic
33664,548570,RAGE 2
34074,552500,Warhammer: Vermintide 2
34081,552590,The Sexy Brutale
34119,552990,World of Warships
34616,557340,My Friend Pedro
34631,557600,Gorogoa
34765,559100,Phantom Doctrine
34832,560130,Pillars of Eternity II: Deadfire
35079,562860,Ion Fury
35729,569860,Thimbleweed Park
35829,570710,Extinction
36556,578650,The Outer Worlds
36820,581320,Insurgency: Sandstorm
36868,582010,Monster Hunter: World
36879,582160,Assassin's Creed Origins
36953,582880,The Elder Scrolls Online - Morrowind
37476,587020,Strike Vector EX Dedicated Server
37521,587620,Okami HD
37595,588650,Dead Cells
38036,591790,BREACH IT
38175,593380,XCOM 2: War of the Chosen
38336,594570,Total War: WARHAMMER II
39296,604540,Empire of Sin
39674,606880,GreedFall
39686,607050,Wargroove
40550,612880,Wolfenstein II: The New Colossus
40700,614570,Dishonored: Death of the Outsider 
40922,617290,Remnant: From the Ashes
42346,629760,MORDHAU
42358,629820,Maneater
42610,632470,Disco Elysium
43146,637090,BATTLETECH
43893,640820,Pathfinder: Kingmaker
44925,646570,Slay the Spire
45086,648350,Jurassic World Evolution
45217,649950,Ashen
45486,653530,Return of the Obra Dinn
46695,666140,My Time At Portia
47711,678950,DRAGON BALL FighterZ
48007,683320,GRIS
48126,684410,Bridge Constructor Portal
48613,690790,DiRT Rally 2.0
48729,692840,Underworld Ascendant
48730,692850,Bloodstained: Ritual of the Night
49443,702670,Donut County
49444,702680,Wattam
49491,703080,Planet Zoo
49582,704270,Generation Zero
50059,710920,Darksiders Genesis
50163,712100,Total War Saga: Thrones of Britannia
50621,717690,OVERKILL's The Walking Dead
50711,718850,Age of Wonders: Planetfall
50725,719040,Wasteland 3
51054,722560,RAD
51300,725270,Necrobarista
53575,753640,Outer Wilds
54234,760060,Mutant Year Zero: Road to Eden
54343,761600,Onimusha: Warlords
54384,762220,Afterparty
54421,762830,Telling Lies
54638,765880,The Occupation
55269,774241,Warhammer: Chaosbane
55636,779340,Total War: THREE KINGDOMS
55855,782330,DOOM Eternal
56016,784980,Seven: The Days Long Gone Demo
56194,787480,Phoenix Wright: Ace Attorney Trilogy
56419,790710,World of Warplanes
56709,794260,Outward
57015,798490,Othercide
58037,812140,Assassin's Creed Odyssey
58245,814380,Sekiro: Shadows Die Twice
59221,826630,Iron Harvest
60055,837470,Untitled Goose Game
60213,839770,Phoenix Point: Year One Edition
60900,847360,Super Lucky's Tale
60984,848350,Katamari Damacy REROLL
61265,851850,DRAGON BALL Z: KAKAROT
61863,859580,Imperator: Rome
62143,863550,HITMAN 2
62377,866800,The Walking Dead: The Final Season
62719,870780,Control
63545,882100,XCOM: Chimera Squad
63657,883710,Resident Evil 2
65768,910830,Rebel Galaxy Outlaw
66013,914600,Surge
66144,916440,Anno 1800
66508,919640,Steel Division 2
67532,933110,Age of Empires III: Definitive Edition
68064,939850,The Dark Pictures Anthology: Man of Medan
68073,939960,Far Cry New Dawn
68943,951690,Surge
69111,953490,CARRION
70634,972660,Spiritfarer
70705,973760,Thronebreaker: The Witcher Tales
71589,985890,Streets of Rage 4
71786,988910,Super Mega Baseball 3
72536,999220,Amnesia: Rebirth
74798,1029890,Layers of Fear 2
74855,1030840,Mafia: Definitive Edition
75243,1036530,A way up!
75358,1038250,DIRT 5
76615,1056960,Wolfenstein: Youngblood
76622,1057090,Ori and the Will of the Wisps
77149,1064221,Halo: Combat Evolved Anniversary
78341,1080110,F1 2020
78741,1085660,Destiny 2
79109,1090150,Destiny 2: Forsaken
79274,1092660,Blair Witch
79648,1097840,Gears 5
79927,1100600,Football Manager 2020
80172,1103800,World War Zero
80679,1110910,Mortal Shell
81118,1116770,Shovel Knight Showdown
82823,1139900,Ghostrunner
82855,1140290,Murder by Numbers
82901,1140900,The Chasm
83225,1145360,Hades
83651,1151340,Fallout 76
83964,1155840,Magnum Opus
84144,1158310,Crusader Kings III
84282,1160220,Paradise Killer
85260,1172380,STAR WARS Jedi: Fallen Order 
85268,1172470,Apex Legends
85282,1172620,Sea of Thieves
85922,1180660,Tell Me Why
86155,1184050,Gears Tactics
86592,1189800,Bleeding Edge
86890,1194630,The Dark Pictures Anthology: Little Hope
87616,1203240,Remember
89158,1222670,The Sims 4
89159,1222680,Need for Speed Heat 
89160,1222690,Dragon Age Inquisition
89163,1222730,STAR WARS: Squadrons
89409,1225560,Unravel
89412,1225590,Sea of Solitude
89933,1233570,Mirror's Edge Catalyst
90033,1235140,Yakuza: Like a Dragon
90235,1237950,STAR WARS Battlefront II
90236,1237970,Titanfall 2
90237,1237980,STAR WARS Battlefront
90238,1238000,Mass Effect: Andromeda
90310,1238840,Battlefield 1 
90313,1238860,Battlefield 4 
90315,1238880,Battlefield Hardline
91081,1250410,Microsoft Flight Simulator
91970,1262540,Need for Speed
91972,1262560,Need for Speed Most Wanted
92907,1275440,Dungeon of the Endless Original Soundtrack
93665,1286830,STAR WARS: The Old Republic
95603,1314563,Destiny 2: Beyond Light
95955,1318840,Outlast
97988,1350120,Story
101633,1405790,John Wick Hex
104747,1454890,Titanfall
