review_score,review_score_desc,total_positive,total_negative,appid,name,ign_score,ign_release_data,ign_comments,pc_gamer_score,pc_gamer_release_data
9,Overwhelmingly Positive,31367,1366,107100,Bastion,9.0,2011-08-23,17,92,2011-11-22
8,Very Positive,160657,17143,107410,Arma 3,7.0,2013-09-19,2,84,2013-09-13
6,Mostly Positive,23326,6540,109600,Neverwinter,6.8,2013-06-27,319,62,2013-07-24
8,Very Positive,4110,702,115800,Owlboy,9.3,2016-11-03,623,82,2016-11-11
8,Very Positive,392,18,201280,Deus Ex: Human Revolution - The Missing Link,8.0,2011-10-19,0,90,2011-10-14
8,Very Positive,34320,3632,201810,Wolfenstein: The New Order,7.8,2014-05-20,7389,84,2014-05-23
8,Very Positive,8602,1499,202090,Magicka: Wizard Wars,6.4,2015-05-06,19,76,2015-05-07
5,Mixed,196,195,202270,Leviathan: Warships,7.7,2013-05-11,0,81,2013-06-19
9,Overwhelmingly Positive,169876,6564,203160,Tomb Raider,9.1,2013-02-25,7,75,2013-03-08
5,Mixed,420,224,203250,Star Trek,4.2,2013-04-27,2,45,2013-06-20
9,Overwhelmingly Positive,15473,774,204450,Call of Juarez Gunslinger,7.5,2013-05-24,2,84,2013-07-05
8,Very Positive,61379,6017,206420,Saints Row IV,7.3,2013-08-14,2616,90,2013-08-14
8,Very Positive,26539,4136,209000,Batman: Arkham Origins,7.8,2013-10-25,5737,68,2013-11-04
5,Mixed,16044,10798,209160,Call of Duty: Ghosts,8.8,2013-11-05,13014,67,2013-11-07
6,Mostly Positive,538,158,209630,Magrunner: Dark Pulse,6.8,2013-06-26,0,66,2013-07-26
5,Mixed,14125,8531,209650,Call of Duty: Advanced Warfare,9.1,2014-11-03,21502,74,2014-11-08
8,Very Positive,9226,1608,210970,The Witness,10.0,2016-01-25,3886,89,2016-01-25
8,Very Positive,89866,8701,211820,Starbound,9.1,2016-07-29,557,84,2016-07-27
9,Overwhelmingly Positive,43012,1090,213670,South Park: The Stick of Truth,9.0,2014-03-04,3140,90,2014-03-04
8,Very Positive,38346,2977,214490,Alien: Isolation,5.9,2014-10-03,15053,93,2014-10-03
6,Mostly Positive,851,264,215690,Zeno Clash 2,6.4,2013-05-03,0,67,2013-06-25
8,Very Positive,7219,1209,216250,Dead Island Riptide,7.2,2013-04-22,1013,45,2013-06-27
5,Mixed,1501,716,217140,Rise of the Triad,4.3,2013-08-06,0,74,2013-08-12
8,Very Positive,413338,59188,218620,PAYDAY 2,8.0,2013-08-13,3,79,2013-09-12
8,Very Positive,8274,645,218680,Scribblenauts Unlimited,8.8,2012-11-17,0,76,2013-03-04
8,Very Positive,54980,4103,219990,Grim Dawn,8.7,2016-03-08,420,83,2016-03-12
8,Very Positive,78046,5083,220200,Kerbal Space Program,9.0,2015-05-15,698,96,2015-05-01
8,Very Positive,18405,1213,220440,DmC Devil May Cry,8.9,2013-01-15,0,83,2013-01-29
5,Mixed,597,775,220660,StarDrive,4.5,2013-05-14,0,78,2013-07-11
8,Very Positive,1967,379,221540,Defense Grid 2,8.0,2014-10-15,3,83,2014-09-24
8,Very Positive,35435,3049,221910,The Stanley Parable,8.8,2013-10-18,232,90,2013-10-25
8,Very Positive,3507,458,222750,Wargame: AirLand Battle,8.4,2013-06-06,0,87,2013-07-04
8,Very Positive,109211,10172,222880,Insurgency,7.5,2014-01-29,148,77,2014-01-29
5,Mixed,7549,5587,223100,Homefront: The Revolution,5.0,2016-05-17,2001,59,2016-05-18
8,Very Positive,3076,410,223830,Xenonauts,7.8,2014-08-07,0,85,2014-06-20
8,Very Positive,7478,561,224480,Octodad: Dadliest Catch,7.8,2014-01-31,0,45,2014-01-31
5,Mixed,350,436,224740,Clockwork Empires,6.5,2016-10-26,14,50,2016-11-02
8,Very Positive,34471,1898,225080,Brothers - A Tale of Two Sons,8.2,2013-08-06,2,85,2013-10-24
5,Mixed,560,560,225360,DARK,4.0,2013-07-12,0,43,2013-09-17
6,Mostly Positive,63517,16802,225540,Just Cause 3,8.0,2015-12-01,1975,67,2015-12-01
6,Mostly Positive,10271,3749,226320,Marvel Heroes Omega,5.7,2013-06-21,639,42,2013-07-25
6,Mostly Positive,8061,2046,226840,Age of Wonders III,7.1,2014-04-03,2,83,2014-04-09
6,Mostly Positive,7154,2163,226860,Galactic Civilizations III,8.6,2015-05-15,238,87,2015-05-21
6,Mostly Positive,1485,560,228260,Fallen Enchantress: Legendary Heroes,8.0,2013-05-29,0,75,2013-04-12
8,Very Positive,1707,131,228360,Full Throttle Remastered,8.0,2017-04-18,119,77,2017-04-24
8,Very Positive,18678,3423,228380,Wreckfest,9.0,2019-08-23,80,75,2018-06-19
5,Mixed,778,763,230840,Daylight,5.8,2014-04-29,1,43,2014-04-29
0,6 user reviews,1,5,382800,Daylight,5.8,2014-04-29,1,43,2014-04-29
8,Very Positive,6223,339,231160,The Swapper,9.3,2013-06-01,980,88,2013-07-27
6,Mostly Positive,55824,15613,231430,Company of Heroes 2,8.4,2013-06-26,586,80,2013-06-21
8,Very Positive,2953,251,231670,Football Manager 2014,8.0,2013-10-31,0,87,2013-11-19
6,Mostly Positive,12432,3789,232430,Gone Home,9.5,2013-08-16,2356,85,2013-09-14
6,Mostly Positive,1681,585,232750,Mars: War Logs,5.3,2013-05-04,2,66,2013-07-16
8,Very Positive,3550,342,233150,LUFTRAUSERS,8.7,2014-03-22,0,80,2014-03-26
5,Mixed,8458,5932,233250,Planetary Annihilation,4.8,2014-09-18,400,60,2014-10-03
8,Very Positive,11080,1379,233270,Far Cry 3 Blood Dragon,8.0,2013-04-30,1,81,2013-06-26
8,Very Positive,10987,1962,233290,MURDERED: SOUL SUSPECT,5.5,2014-06-03,2780,40,2014-06-03
8,Very Positive,46805,4209,233450,Prison Architect,8.3,2015-10-07,111,87,2015-10-15
8,Very Positive,49004,4736,234140,Mad Max,8.4,2015-09-01,9019,77,2015-09-08
5,Mixed,1008,739,234530,War of the Vikings,3.5,2014-04-23,190,60,2014-04-24
6,Mostly Positive,9669,2829,234630,Project CARS,8.9,2015-05-06,8625,83,2015-05-06
8,Very Positive,10253,1332,234650,Shadowrun Returns,7.3,2013-07-25,327,74,2013-08-02
8,Very Positive,2449,473,235210,Strider,7.5,2014-02-18,4,70,2014-03-01
8,Very Positive,18170,1347,235460,METAL GEAR RISING: REVENGEANCE,8.5,2014-01-11,0,80,2014-01-17
8,Very Positive,11825,2309,235600,Tom Clancy's Splinter Cell Blacklist,9.2,2013-08-14,2616,70,2013-09-10
8,Very Positive,152154,36647,236390,War Thunder,7.2,2014-06-21,11,78,2014-08-07
8,Very Positive,32850,4003,236430,DARK SOULS II,9.0,2014-03-11,5604,91,2014-04-24
4,Mostly Negative,2218,3337,236510,Takedown: Red Sabre,4.0,2013-10-02,0,49,2013-10-24
6,Mostly Positive,4784,1392,236690,Blood Bowl 2,7.8,2015-09-23,221,60,2015-09-22
8,Very Positive,72934,10554,236850,Europa Universalis IV,8.9,2013-08-16,230,91,2013-08-13
6,Mostly Positive,189,73,237350,Frozen Cortex,8.1,2015-02-27,1,87,2015-02-24
8,Very Positive,4442,678,237630,DuckTales Remastered,7.0,2013-08-13,1,60,2013-08-13
8,Very Positive,25187,1402,237930,Transistor,9.0,2014-05-20,2749,80,2014-05-20
8,Very Positive,11478,1364,237990,The Banner Saga,8.6,2014-01-14,0,82,2014-01-23
8,Very Positive,16323,3792,238090,Sniper Elite 3,8.2,2014-06-27,8,70,2014-07-01
9,Overwhelmingly Positive,60806,2469,238320,Outlast,7.8,2013-09-05,3003,75,2013-09-11
0,No user reviews,0,0,1318840,Outlast,7.8,2013-09-05,3003,75,2013-09-11
8,Very Positive,7374,1692,238370,Magicka 2,7.7,2015-05-29,415,79,2015-05-27
8,Very Positive,138136,9914,238960,Path of Exile,8.8,2013-11-09,458,90,2018-05-25
9,Overwhelmingly Positive,37507,1316,239030,"Papers, Please",8.7,2013-08-13,1,87,2013-08-09
8,Very Positive,363,25,239090,Samurai Gunn,8.3,2013-12-19,0,80,2014-02-21
8,Very Positive,194179,10524,239140,Dying Light,8.5,2015-01-27,15848,70,2015-01-30
6,Mostly Positive,13452,4946,239160,Thief,6.8,2014-02-24,5599,79,2014-02-24
5,Mixed,5613,2618,239200,Amnesia: A Machine for Pigs,8.3,2013-09-11,0,89,2013-09-09
8,Very Positive,2943,576,239250,Castlevania: Lords of Shadow 2,6.5,2014-02-25,3,44,2014-02-25
8,Very Positive,12286,1013,239350,Spelunky,9.0,2013-08-07,0,96,2013-09-09
6,Mostly Positive,1594,568,239840,Dead State,6.8,2014-12-19,1,72,2014-12-17
8,Very Positive,632,61,240440,Quadrilateral Cowboy,8.5,2016-07-28,54,80,2016-07-25
8,Very Positive,6472,1380,240760,Wasteland 2,8.4,2014-09-24,535,83,2014-09-19
8,Very Positive,3739,373,241260,Sherlock Holmes: Crimes and Punishments,7.5,2014-10-01,14,84,2014-11-06
5,Mixed,764,534,241280,Chivalry: Deadliest Warrior,8.1,2013-11-28,0,55,2013-12-13
5,Mixed,10063,4660,241560,The Crew,6.0,2014-12-02,7369,70,2014-12-08
8,Very Positive,36469,4476,242050,Assassin's Creed IV Black Flag,8.5,2013-10-29,5077,90,2013-11-26
8,Very Positive,4134,373,242550,Rayman Legends,9.5,2013-08-27,2814,90,2013-10-25
8,Very Positive,5638,1151,242640,Styx: Master of Shadows,7.2,2014-10-15,373,78,2014-10-15
9,Overwhelmingly Positive,13109,518,242680,Nuclear Throne,9.0,2015-12-17,52,90,2015-12-14
8,Very Positive,12804,2182,242700,Injustice: Gods Among Us Ultimate Edition,8.2,2013-11-22,671,80,2013-12-11
6,Mostly Positive,2843,809,242880,"Sir, You Are Being Hunted",7.7,2014-05-02,0,63,2014-05-16
8,Very Positive,30809,3383,242920,Banished,8.3,2014-02-21,0,70,2014-02-21
8,Very Positive,2827,632,243120,Betrayer,5.0,2014-04-04,3,62,2014-04-04
8,Very Positive,487,101,243160,Mushroom 11,9.0,2015-10-15,51,85,2015-10-21
5,Mixed,2105,1016,243930,Bound By Flame,7.0,2014-05-13,2,54,2014-05-10
6,Mostly Positive,1477,505,243950,Divinity: Dragon Commander,7.8,2013-08-07,0,85,2013-08-17
8,Very Positive,4266,356,243970,"Invisible, Inc.",8.5,2015-05-13,142,80,2015-05-14
8,Very Positive,7624,1038,244160,Homeworld Remastered Collection,9.0,2015-02-25,674,92,2015-03-23
5,Mixed,1319,626,245490,Trials Fusion,8.2,2014-04-17,0,85,2014-04-16
6,Mostly Positive,9594,2716,245620,Tropico 5,7.2,2014-05-30,238,78,2014-05-23
5,Mixed,431,363,246070,Hack 'n' Slash,7.7,2014-09-23,0,60,2014-09-19
6,Mostly Positive,1222,474,246110,MASSIVE CHALICE,6.7,2015-07-09,124,75,2015-06-01
6,Mostly Positive,1163,353,246760,Legends of Eisenwald,7.3,2015-07-10,18,70,2015-07-16
9,Overwhelmingly Positive,18608,726,247080,Crypt of the NecroDancer,8.8,2015-04-21,61,87,2015-05-12
6,Mostly Positive,3362,1266,249230,Risen 3 - Titan Lords,5.2,2014-08-13,300,83,2014-08-12
5,Mixed,189,187,249570,The Castle Doctrine,4.5,2014-02-05,0,85,2014-02-01
5,Mixed,1937,1191,249650,Blackguards,7.8,2014-01-31,0,53,2014-02-28
8,Very Positive,4728,717,250620,Among the Sleep,7.3,2014-06-05,1,60,2014-05-29
8,Very Positive,2449,139,251470,TowerFall Ascension,8.9,2014-03-26,500,90,2014-03-26
8,Very Positive,265,9,251490,Gravity Ghost,7.4,2015-02-06,0,75,2015-02-04
8,Very Positive,2601,253,251730,Legend of Grimrock 2,8.6,2014-10-18,0,85,2014-11-03
8,Very Positive,2550,156,252110,Lovers in a Dangerous Spacetime,8.5,2015-09-16,82,86,2015-09-16
5,Mixed,1027,837,252450,StarDrive 2,6.9,2015-04-21,474,70,2015-04-28
8,Very Positive,1694,231,252630,Eldritch,7.7,2013-11-02,0,72,2013-10-23
8,Very Positive,238,26,252750,MouseCraft,7.7,2014-07-12,91,65,2014-07-14
9,Overwhelmingly Positive,33153,623,253230,A Hat in Time,8.0,2017-10-17,319,86,2017-10-11
5,Mixed,1467,867,255070,Abyss Odyssey,6.7,2014-07-25,0,55,2014-07-19
8,Very Positive,130707,10217,255710,Cities: Skylines,8.5,2015-03-10,721,86,2015-03-10
8,Very Positive,10941,849,256290,Child of Light,9.3,2014-04-29,12,69,2014-04-29
8,Very Positive,6615,1294,257420,Serious Sam 4,5.0,2020-09-25,352,71,2020-09-24
9,Overwhelmingly Positive,21668,968,257510,The Talos Principle,8.3,2014-12-10,10,84,2014-12-09
4,Mostly Negative,1233,2373,258180,Deus Ex: The Fall,3.0,2014-03-25,1,40,2014-04-25
8,Very Positive,7303,923,258520,The Vanishing of Ethan Carter,8.5,2014-10-03,922,82,2014-09-29
9,Overwhelmingly Positive,41174,1897,261570,Ori and the Blind Forest,8.5,2015-03-10,7217,87,2015-03-13
8,Very Positive,26285,5429,261640,Borderlands: The Pre-Sequel,8.0,2014-10-13,2469,77,2014-10-13
5,Mixed,1521,1130,261760,Lichdom: Battlemage,6.5,2014-08-30,0,76,2014-08-27
8,Very Positive,75413,8255,262060,Darkest Dungeon,9.1,2016-01-27,1055,88,2016-01-20
8,Very Positive,3603,866,262280,Dungeons 2,5.2,2015-04-22,65,76,2015-04-20
9,Overwhelmingly Positive,140005,6229,264710,Subnautica,9.1,2018-01-26,177,89,2018-01-29
5,Mixed,9057,5896,265300,Lords Of The Fallen,7.4,2014-10-28,23,58,2014-10-28
8,Very Positive,49949,5878,265930,Goat Simulator,8.0,2014-04-02,1830,30,2014-04-04
6,Mostly Positive,291,98,265950,Ether One,7.9,2014-04-19,96,82,2014-04-07
8,Very Positive,8835,921,266510,Hand of Fate,7.0,2015-02-21,288,73,2015-02-18
8,Very Positive,2341,416,267530,The LEGO Movie - Videogame,6.5,2014-02-13,0,50,2014-02-12
5,Mixed,857,443,267550,The Amazing Spider-Man 2,5.4,2014-05-01,3,55,2014-05-08
8,Very Positive,5100,294,268130,Heat Signature,8.0,2017-09-22,22,85,2017-09-21
8,Very Positive,51418,8819,268500,XCOM 2,9.3,2016-02-01,1905,94,2016-02-01
6,Mostly Positive,3599,1123,271240,Offworld Trading Company,8.0,2016-04-29,43,88,2016-05-05
6,Mostly Positive,1444,591,271260,Star Control: Origins,6.9,2018-09-21,25,60,2018-09-28
5,Mixed,2523,1099,272270,Torment: Tides of Numenera,8.8,2017-02-28,343,89,2017-02-28
8,Very Positive,29897,2329,274170,Hotline Miami 2: Wrong Number,8.8,2015-03-10,3,57,2015-03-10
9,Overwhelmingly Positive,39157,1166,274190,Broforce,8.8,2015-10-20,196,78,2015-10-19
6,Mostly Positive,624,167,274250,OlliOlli,7.7,2014-01-22,0,82,2014-07-22
6,Mostly Positive,1768,727,274290,Gods Will Be Watching,8.0,2014-07-26,288,81,2014-07-24
8,Very Positive,624,83,275180,Costume Quest 2,7.6,2014-10-08,0,70,2014-10-10
5,Mixed,121519,56631,275850,No Man's Sky,7.0,2018-07-31,945,64,2016-08-18
8,Very Positive,3078,751,277430,Halo: Spartan Assault,6.7,2013-07-31,0,58,2013-09-18
8,Very Positive,4061,928,281610,Homeworld: Deserts of Kharak,8.8,2016-01-23,264,90,2016-01-21
8,Very Positive,2320,261,281640,The Banner Saga 2,8.9,2016-04-19,102,86,2016-04-19
8,Very Positive,78999,12643,281990,Stellaris,6.3,2016-05-09,553,70,2016-05-09
8,Very Positive,62036,3465,282070,This War of Mine,8.4,2014-11-25,1,80,2014-11-19
5,Mixed,982,1109,282210,Sid Meier's Starships,6.5,2015-03-14,240,54,2015-03-16
6,Mostly Positive,2573,939,282350,NBA 2K15,7.8,2014-10-10,2468,88,2014-10-28
5,Mixed,4950,3042,286570,F1 2015,4.8,2015-07-17,287,61,2015-07-22
8,Very Positive,35543,5571,287390,Metro: Last Light Redux,8.6,2014-08-20,1643,80,2014-08-20
5,Mixed,165,74,287600,Sunset,8.0,2015-05-22,359,68,2015-05-29
8,Very Positive,54399,5932,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,10.0,2015-08-24,26300,93,2015-09-07
8,Very Positive,6432,1350,288470,Fable Anniversary,8.0,2014-02-03,1,65,2014-09-23
5,Mixed,21804,9382,289650,Assassin's Creed Unity,7.8,2014-11-12,12005,65,2014-11-14
5,Mixed,2593,1201,290790,Grey Goo,7.6,2015-01-24,312,82,2015-01-23
8,Very Positive,15811,2212,291650,Pillars of Eternity,9.0,2015-03-27,2023,92,2015-03-26
5,Mixed,2244,1496,292140,FINAL FANTASY XIII-2,8.0,2012-01-28,31,59,2015-01-23
5,Mixed,9841,10758,292730,Call of Duty: Infinite Warfare,7.7,2016-11-08,1,48,2016-11-09
6,Mostly Positive,90,35,294060,Aaru's Awakening,6.7,2015-03-03,2,60,2015-02-28
8,Very Positive,507,73,294440,Shadowgate,6.4,2014-08-23,0,60,2014-08-26
8,Very Positive,10032,1004,294860,Valkyria Chronicles,8.8,2014-11-27,2,89,2014-11-12
6,Mostly Positive,4484,1132,297130,Titan Souls,8.0,2015-04-13,546,87,2015-04-13
6,Mostly Positive,4238,1510,298050,Master of Orion,7.1,2016-08-26,177,73,2016-08-26
8,Very Positive,25525,5985,298110,Far Cry 4,8.5,2014-11-14,18502,89,2014-11-24
5,Mixed,3020,2615,298900,Space Hulk: Deathwing,6.4,2016-12-21,70,60,2016-12-16
5,Mixed,855,685,300060,ADR1FT,6.0,2016-03-28,113,63,2016-03-31
8,Very Positive,1417,116,301970,Screencheat,7.0,2014-10-27,0,78,2014-10-20
8,Very Positive,20482,3587,302510,Ryse: Son of Rome,6.8,2013-11-21,14359,57,2014-10-09
8,Very Positive,14226,2197,303210,The Beginner's Guide,8.0,2015-10-08,44,69,2015-10-06
5,Mixed,2379,1565,304530,Agents of Mayhem,7.1,2017-08-15,926,67,2017-08-15
8,Very Positive,6324,1267,304650,Sunless Sea,8.3,2015-02-20,169,80,2015-02-11
6,Mostly Positive,2723,748,307670,Hard West,7.3,2015-11-19,91,61,2015-12-03
8,Very Positive,5772,374,310080,Hatoful Boyfriend,8.0,2014-09-06,399,70,2014-09-04
6,Mostly Positive,68261,24319,311210,Call of Duty: Black Ops III,9.2,2015-11-06,10680,75,2015-11-11
8,Very Positive,9450,2015,311340,METAL GEAR SOLID V: GROUND ZEROES,8.0,2014-12-23,1917,87,2014-12-18
8,Very Positive,7351,1511,311560,Assassin's Creed Rogue,6.8,2014-11-16,4801,74,2015-03-10
9,Overwhelmingly Positive,51806,2091,311690,Enter the Gungeon,8.5,2016-04-05,283,78,2016-04-08
8,Very Positive,3072,416,312520,Rain World,6.3,2017-03-27,166,80,2017-03-27
8,Very Positive,3130,633,312670,Strange Brigade,7.5,2018-08-28,127,68,2018-09-05
6,Mostly Positive,807,256,314810,Randal's Monday,4.5,2014-12-02,0,53,2014-11-13
8,Very Positive,5133,544,316790,Grim Fandango Remastered,9.3,2015-01-27,1881,80,2015-01-27
5,Mixed,287,177,317850,Company of Heroes 2 - Ardennes Assault,8.2,2014-11-20,1,81,2014-11-17
6,Mostly Positive,4525,1438,318600,The Flame in the Flood,7.3,2016-03-03,118,70,2016-02-24
9,Overwhelmingly Positive,139201,5324,319630,Life is Strange,6.5,2015-10-22,409,77,2015-10-22
6,Mostly Positive,5258,1815,320240,We Happy Few,7.3,2018-08-14,799,56,2018-08-10
8,Very Positive,22373,2626,322500,SUPERHOT,7.5,2016-02-25,340,84,2016-02-25
8,Very Positive,52342,5329,323190,Frostpunk,9.0,2018-04-25,152,89,2018-04-23
8,Very Positive,4291,409,323320,Grow Home,8.8,2015-02-07,663,80,2015-02-10
8,Very Positive,1140,91,323380,The Magic Circle,7.8,2015-07-31,47,78,2015-07-10
8,Very Positive,14630,1977,324800,Shadow Warrior 2,8.6,2016-10-13,244,78,2016-10-14
5,Mixed,1724,1448,325600,Sword Coast Legends,5.5,2015-10-28,131,55,2015-10-23
6,Mostly Positive,18685,5081,325610,Total War: ATTILA,8.1,2015-02-12,462,83,2015-02-12
8,Very Positive,2714,629,325724,Dying Light - The Following,8.8,2016-02-09,646,80,2016-02-11
8,Very Positive,6721,1279,327410,A Bird Story,8.8,2014-11-27,104,40,2014-11-18
6,Mostly Positive,4242,1227,327890,I am Bread,7.2,2015-04-14,489,58,2015-04-20
8,Very Positive,3723,269,332200,Axiom Verge,7.9,2015-03-30,1552,85,2015-05-13
9,Overwhelmingly Positive,1978,70,334940,Yoku's Island Express,8.0,2018-05-29,57,85,2018-06-08
6,Mostly Positive,22885,8635,337000,Deus Ex: Mankind Divided,9.2,2016-08-19,3328,88,2016-08-19
5,Mixed,1516,667,338390,The Technomancer,4.9,2016-06-28,876,60,2016-07-15
8,Very Positive,761,71,340000,Headlander,8.2,2016-07-25,91,80,2016-07-25
6,Mostly Positive,5841,1751,342200,MechWarrior Online,7.3,2013-09-28,0,83,2013-10-26
8,Very Positive,2815,462,343860,Tacoma,8.5,2017-08-01,362,84,2017-08-01
6,Mostly Positive,1505,447,345520,Infinite Crisis,6.9,2015-04-30,267,60,2015-04-29
6,Mostly Positive,301695,83686,346110,ARK: Survival Evolved,7.7,2017-09-02,287,72,2017-09-07
8,Very Positive,9974,1288,350080,Wolfenstein: The Old Blood ,7.0,2015-05-09,2207,70,2015-05-06
5,Mixed,4281,2345,350280,LawBreakers,7.9,2017-08-15,734,84,2017-08-11
8,Very Positive,6005,1205,351970,Tales of Zestiria,7.8,2015-10-17,937,82,2015-11-05
5,Mixed,210,150,353190,Bombshell,6.9,2016-01-30,191,30,2016-01-29
5,Mixed,208,96,355680,Overland,7.5,2019-09-25,24,62,2019-09-24
8,Very Positive,2577,567,355790,Styx: Shards of Darkness,7.8,2017-03-15,135,79,2017-03-14
5,Mixed,857,432,356050,Beyond Eyes,5.5,2015-08-08,385,75,2015-08-17
8,Very Positive,44041,7571,356190,Middle-earth: Shadow of War,9.0,2017-10-05,3,73,2017-10-05
8,Very Positive,2671,229,356400,Thumper,9.0,2016-10-05,424,82,2016-10-13
6,Mostly Positive,2008,652,356650,Death's Gambit,6.7,2018-08-25,112,67,2018-08-22
6,Mostly Positive,47876,14286,359320,Elite Dangerous,7.4,2014-12-20,1153,86,2014-12-23
8,Very Positive,265,28,359480,FINAL FANTASY XIV: Heavensward,8.6,2015-06-30,1562,87,2015-07-02
8,Very Positive,711446,96413,359550,Tom Clancy's Rainbow Six Siege,7.9,2015-11-30,5056,90,2015-12-04
6,Mostly Positive,3044,973,360830,Yooka-Laylee,7.0,2017-04-04,1749,68,2017-04-04
9,Overwhelmingly Positive,51215,2184,362890,Black Mesa,8.0,2020-03-13,141,84,2020-03-05
8,Very Positive,8179,1269,362960,Tyranny,8.3,2016-11-11,276,75,2016-11-10
6,Mostly Positive,35516,10322,364360,Total War: WARHAMMER,8.6,2016-05-19,737,86,2016-05-19
6,Mostly Positive,6928,2409,364470,The Elder Scrolls: Legends,8.3,2017-03-20,79,78,2017-03-17
6,Mostly Positive,497,146,365770,Volume,8.1,2015-08-19,268,72,2015-08-18
5,Mixed,977,577,366910,The Long Journey Home,6.4,2017-06-01,23,68,2017-05-31
9,Overwhelmingly Positive,120804,4016,367520,Hollow Knight,9.4,2018-06-22,776,92,2017-07-10
6,Mostly Positive,12634,3645,368500,Assassin's Creed Syndicate,8.2,2015-10-22,4376,66,2015-11-25
8,Very Positive,681,115,369150,Cities: Skylines - After Dark,6.5,2015-10-06,36,80,2015-09-24
8,Very Positive,15287,3393,371660,Far Cry Primal,7.9,2016-02-22,4405,79,2016-02-29
8,Very Positive,16538,1728,373420,Divinity: Original Sin Enhanced Edition,9.0,2015-10-27,619,87,2014-07-11
5,Mixed,1810,949,374030,Virginia,8.5,2016-09-23,250,72,2016-09-22
8,Very Positive,208544,14332,374320,DARK SOULS III,9.5,2016-04-04,6729,94,2016-04-04
5,Mixed,3041,1398,375910,Anno 2205,7.0,2015-11-05,132,73,2015-11-10
5,Mixed,1633,1356,375960,Pro Evolution Soccer 2016,9.5,2015-09-14,2010,69,2015-10-08
6,Mostly Positive,3614,1326,376570,WildStar,8.7,2014-06-27,0,89,2014-06-09
6,Mostly Positive,173596,49498,377160,Fallout 4,9.5,2015-11-09,4,88,2015-11-09
6,Mostly Positive,10559,2845,378860,Project CARS 2,9.2,2017-09-18,839,89,2017-09-18
8,Very Positive,127931,6868,379720,DOOM,7.1,2016-05-16,12093,88,2016-05-18
8,Very Positive,1383,124,381780,80 Days,7.0,2006-01-14,0,91,2015-10-13
8,Very Positive,42089,6095,383870,Firewatch,9.3,2016-02-09,3605,85,2016-02-08
5,Mixed,2830,1474,384490,Necropolis,6.5,2016-07-15,237,68,2016-07-12
8,Very Positive,61674,14454,386360,SMITE,8.5,2014-04-02,6,86,2014-04-10
9,Overwhelmingly Positive,3044,89,388210,Day of the Tentacle Remastered,8.8,2016-03-21,377,87,2016-03-26
8,Very Positive,7934,598,388880,Oxenfree,8.2,2016-01-16,179,83,2016-01-15
8,Very Positive,3512,629,391040,F1 2016,8.8,2016-08-24,263,87,2016-09-07
8,Very Positive,82638,5514,391220,Rise of the Tomb Raider,9.3,2015-11-09,8875,83,2016-01-27
